Phenotype	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33
Malignant_Lymphoma	-0.8941405	-8.693467	-7.2563205	-9.336406	-0.27120253	6.0065084	1.8217478	2.151506	1.6164275	0.049970433	0.50306255	-2.6563923	-3.1043365	-2.465288	-2.3488984	-0.4573596	-3.4644578	-2.253118	3.2071028	-2.1553993	-1.7797027	0.6807981	-0.35084566	1.1880351	-2.8436072	2.0901256	0.43604004	-0.27902848	0.22756284	-1.1417346	0.00037755287	-2.3247354e-07	-2.7580064e-15
PrC	9.889887	-10.865387	-0.18177226	11.216611	15.18951	-6.89458	-3.5236528	-0.16896817	2.2621899	2.3619778	-2.1759245	-2.228927	4.702993	-2.908446	-0.111254305	2.153011	1.9046416	1.1080402	1.6772399	2.1974168	-0.14516324	-0.7378294	-2.7873464	4.067055	-0.095099166	0.011501454	-1.8027825	0.2635132	0.26084757	0.12224717	-0.17794164	3.879556e-08	-2.7580064e-15
SkC	10.231409	-15.869912	-8.040681	-5.951127	-0.3615463	16.179089	-8.397944	2.594656	7.590985	-1.197937	2.418443	2.2689314	-7.74072	-4.012677	5.6822286	-0.7181534	2.890884	1.0453129	1.3431782	1.909159	1.5516156	-0.6190292	-0.5534421	-1.799581	-0.117322706	0.6478076	-0.8719593	-0.11247725	-0.02748323	0.1728464	0.08288117	9.6050385e-08	-2.7580064e-15
Iron_Deficiency_Anemia	-1.6591951	-9.039688	-1.0167215	-3.9770954	1.7679584	-4.466243	3.9684198	-5.065576	-1.1719431	2.2297928	-4.5646825	-2.2050343	-0.05871877	2.3242657	0.23127036	-1.564568	1.5686744	0.57134587	2.0899076	0.5025298	0.20173393	-0.6299894	-1.8701636	-2.2055724	-0.053563453	-1.0230064	0.9033972	2.749749	0.861934	-1.2821223	0.22358456	-8.192309e-07	-2.7580064e-15
Sarcoidosis	3.1004922	-12.67588	-4.140602	-7.9209065	1.5331588	-4.585725	3.0452638	-9.251778	0.9811826	6.8180194	-7.229978	5.786573	1.4674022	-1.239273	0.15158209	3.357571	0.3219691	1.7509011	-2.7044702	1.8123952	1.661531	2.848238	0.9002901	-0.5015293	-1.4865978	0.51534677	0.5574117	-0.87027514	-0.43072787	-0.5067374	0.00025457246	1.8080896e-09	-2.7580064e-15
GD	-16.076529	-2.3698819	-11.731283	-18.505568	-11.905487	1.2127603	10.027888	8.808893	-0.22370622	-4.831085	2.775241	0.22285165	8.508099	-1.3589032	3.8234155	-2.1864622	-3.4567978	3.8752162	-1.4918747	1.2701563	-0.7054024	1.1403182	-1.1606221	-0.3583335	0.009230518	-0.012928203	-0.055938393	0.19898841	-0.097346224	-0.23189218	-0.12084909	7.039061e-08	-2.7580064e-15
Hyperthyroidism	-16.142437	-1.9019479	-12.563458	-15.121451	-8.941573	2.8316474	11.670875	2.7143195	-2.09634	-4.569258	-0.14891204	0.8121538	5.919705	-0.7138295	-0.44291672	1.8990716	5.3223658	-5.576256	1.4823242	0.07228763	2.2955391	-1.1713045	1.5466852	0.19938362	-0.5259967	0.04114405	0.2503929	0.011646657	0.12251827	0.40747085	-0.00914432	2.8857608e-08	-2.7580064e-15
Hypothyroidism	-46.73029	6.6414995	-12.66866	14.504055	-38.17451	2.8535984	-23.962904	-1.5329341	-7.4368486	3.1085198	-2.3167384	-3.159227	0.40238088	-0.97316796	0.38682628	0.27615547	-0.14483033	-0.18668284	0.027581196	0.5255126	-0.058657635	0.16541588	0.017004719	0.27777672	-0.046308286	-0.060315102	-0.13743329	-0.009264295	0.018616755	0.03381443	-0.0036438787	4.6307978e-08	-2.7580064e-15
T1D	-77.999794	59.146854	19.434778	-23.1491	21.487137	-0.36443067	-10.679843	2.263975	3.1309938	1.4588641	-1.9237677	1.2822562	-0.3581436	0.33577666	0.50380874	-0.35461485	0.07922676	-0.264089	-0.12622131	-0.19202666	0.10236688	-0.19319889	-0.007955972	0.2063507	-0.10010327	-0.11327967	-0.006214476	0.035248775	-0.030532809	-0.011576285	0.0058058407	1.2046233e-09	-2.7580064e-15
Iritis	71.897156	45.30758	-3.5731895	-7.1871214	-8.330742	-6.9884753	-3.413978	-1.1737618	0.3011658	-0.86367804	0.025643276	-0.27675977	-0.09660783	-0.4610898	-0.08595222	-0.19796751	0.04288611	-0.076605305	-0.029875599	0.009715522	0.030322753	-0.084644645	-0.02751321	0.046585195	-0.03835531	-0.028467223	-0.006673584	0.021103641	0.004749246	0.018404912	-0.00068773975	0.0035604339	-2.7580064e-15
