Phenotype	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33
Malignant_Lymphoma	-0.3338369	-13.795995	-13.488808	8.835947	-0.85901034	7.108462	3.0795112	-2.2467728	2.9763892	-0.697431	0.55879545	-3.917071	-3.127743	-2.653125	-3.003906	-0.39617845	-4.687623	-1.4136333	4.321146	-2.1398923	-2.1444907	0.6727753	1.1912615	1.6465303	3.7761981	2.2362597	-0.82712185	-0.7243555	-0.387984	-1.3226691	-0.020816663	-1.6952359e-07	-4.241241e-15
PrC	14.734842	-11.95294	3.0300481	-20.732178	-15.93742	-8.630606	-3.8345203	2.4326665	4.04578	1.769229	2.9684253	0.92177767	5.517988	-4.1193733	-0.10604125	2.6706824	3.222514	1.5168386	2.3082695	3.0136895	0.4074257	-2.5940907	3.178814	4.298189	0.2497311	0.34436738	2.2352962	0.38849	-0.35614684	0.20806086	-0.24313563	3.5177015e-09	-4.241241e-15
SkC	14.851275	-22.162043	-13.1518755	3.4635158	0.082617156	21.771582	-8.076111	-1.3736376	7.9324403	-0.76395434	-4.402385	-0.87328255	-11.574316	-4.2542744	6.407727	-0.84413415	3.7521856	0.17238979	1.0517625	2.8977973	1.9686205	-0.82778764	-0.27303326	-2.5574722	0.17814614	0.9754315	0.882766	-0.10353468	0.012981317	0.18562947	0.09929897	1.2519402e-07	-4.241241e-15
Iron_Deficiency_Anemia	-2.3262851	-12.008658	-2.4408274	3.7521598	-2.2788982	-7.154885	4.6111364	7.069181	-2.0034761	1.1016245	6.223391	-2.350461	1.101345	2.913451	-0.017105786	-2.2552407	1.9291792	-0.13520572	2.1921866	1.0935324	0.018059378	-1.882631	1.0953447	-3.0780187	-0.094626345	-0.7873505	-1.3248212	2.8066006	-1.8539319	-1.502747	0.28933814	-8.400978e-07	-4.241241e-15
Sarcoidosis	4.2494187	-17.393967	-7.9382396	6.9714613	-2.1949084	-6.549301	4.0561085	14.207348	-1.2119278	3.715753	7.849139	9.04589	-0.947056	-0.8189793	0.4391719	4.1815624	0.5066359	1.486549	-3.9501362	1.5967531	2.4856603	3.7689464	0.8243466	-0.7553137	1.5947752	0.31594086	-0.7377181	-0.9267724	0.6059459	-0.7402253	-0.0052647656	8.2716376e-08	-4.241241e-15
GD	-22.413795	-5.948691	-20.85309	24.027187	11.685135	-0.8812312	11.234473	-12.255368	2.0270011	-3.2856555	-4.312444	4.1196747	9.284473	-2.3380735	5.1515956	-4.012384	-2.1262918	5.1877365	-2.1975217	1.2504771	-0.6788064	0.5584185	2.1644099	-0.5920969	-0.043077473	0.16095546	0.0106414445	0.2526183	0.045902766	-0.32542628	-0.16564232	1.12357924e-07	-4.241241e-15
Hyperthyroidism	-22.984818	-3.7312376	-21.022873	18.890156	8.012765	0.9844736	13.621333	-5.599481	-1.3570132	-4.3408213	-0.5974163	3.5159316	7.1308208	-1.2006739	-0.4040939	2.9437485	3.9673126	-7.7568893	2.351438	0.41520596	2.7700012	-0.60065675	-2.8822508	0.29077476	0.6980945	-0.18138897	-0.26624623	-0.08607942	-0.043014657	0.48698187	0.0055996673	1.0067042e-08	-4.241241e-15
Hypothyroidism	-65.59976	12.009198	-6.6638637	-12.376425	48.661713	12.076713	-28.09301	0.89326745	-8.876582	3.4257889	5.555473	-3.567333	2.1982155	-2.022454	0.715604	0.6809705	-0.39479646	0.03556487	0.13587888	0.7745304	-0.08918031	0.2060735	0.13466372	0.40153393	0.056244913	-0.08243643	0.1867482	0.006793438	0.0029076124	0.05169168	-0.0039149006	4.8158828e-08	-4.241241e-15
T1D	-99.41468	65.316315	12.90363	33.66812	-36.910976	-0.5197759	-16.171637	-0.9842658	4.905297	1.6813804	2.1586435	1.6709712	-1.5067168	0.35074097	0.56658775	-0.4289596	-0.021911241	-0.35860005	-0.26200983	-0.2802652	0.104391545	-0.21927467	-0.052016445	0.24907595	0.13049151	-0.15080981	0.041691694	0.07691733	0.03120552	-0.028636677	0.0034723885	-5.0445452e-09	-4.241241e-15
Iritis	92.10691	58.405922	-6.778355	13.611938	10.168463	-8.168195	-5.8933597	1.4199942	0.06442185	-1.5096744	-0.15318523	-0.34933776	-0.08886475	-0.6507247	-0.16866527	-0.18326716	0.013807354	-0.08237995	-0.008580757	0.015056247	0.03381322	-0.119713575	-0.019742597	0.06328927	0.071319394	-0.03815311	0.016348885	0.031010546	-0.0068639168	0.025223097	-0.0006361983	0.004063718	-4.241241e-15
